carat,cut,color,price
0.83,Ideal,G,2800
0.83,Very Good,H,2800
0.74,Premium,G,2800
0.79,Ideal,I,2800
0.61,Ideal,G,2800
0.76,Fair,G,2800
0.96,Ideal,F,2801
0.73,Ideal,F,2801
0.73,Premium,F,2801
0.75,Ideal,H,2801
0.71,Premium,F,2801
0.71,Good,F,2801
0.71,Good,F,2801
0.71,Premium,F,2801
1.04,Premium,G,2801
1.0,Premium,J,2801
0.87,Very Good,G,2802
0.53,Ideal,F,2802
0.72,Premium,E,2802
0.72,Premium,F,2802
0.7,Very Good,F,2803
0.74,Very Good,E,2803
0.71,Ideal,G,2803
0.73,Ideal,E,2803
0.7,Good,G,2803
0.71,Premium,F,2803
0.71,Premium,F,2803
0.71,Premium,G,2803
0.77,Premium,G,2803
0.71,Premium,G,2803
0.78,Premium,G,2803
0.71,Very Good,G,2803
0.91,Ideal,D,2803
0.71,Very Good,E,2804
0.71,Very Good,E,2804
0.8,Very Good,E,2804
0.7,Very Good,D,2804
0.72,Ideal,F,2804
0.72,Very Good,F,2804
0.82,Ideal,H,2804
0.7,Ideal,D,2804
0.72,Ideal,D,2804
0.72,Ideal,D,2804
0.9,Fair,I,2804
0.74,Premium,F,2805
0.74,Premium,F,2805
0.73,Ideal,E,2805
0.57,Fair,E,2805
0.73,Premium,F,2805
0.72,Ideal,G,2805
0.74,Fair,F,2805
0.82,Good,G,2805
0.81,Very Good,G,2806
0.75,Very Good,H,2806
0.7,Ideal,F,2806
0.71,Very Good,F,2807
0.71,Very Good,F,2807
0.93,Premium,J,2807
0.8,Very Good,H,2808
0.7,Very Good,F,2808
1.0,Fair,G,2808
0.75,Very Good,G,2808
0.58,Ideal,E,2808
0.73,Very Good,D,2808
0.81,Very Good,F,2809
0.81,Premium,D,2809
0.71,Premium,F,2809
1.2,Fair,F,2809
0.7,Very Good,F,2810
0.7,Very Good,F,2810
0.74,Ideal,D,2810
0.7,Good,F,2810
0.8,Good,G,2810
0.75,Very Good,F,2811
0.83,Very Good,D,2811
1.0,Fair,J,2811
0.99,Fair,I,2811
0.7,Very Good,G,2812
0.7,Very Good,F,2812
0.7,Good,E,2812
0.7,Very Good,F,2812
0.32,Premium,I,554
0.32,Premium,I,554
0.32,Ideal,I,554
0.32,Premium,I,554
0.32,Very Good,I,554
0.32,Ideal,I,554
0.3,Premium,H,554
0.3,Premium,H,554
0.3,Premium,H,554
0.3,Very Good,H,554
0.3,Good,H,554
0.3,Ideal,H,554
0.3,Very Good,H,554
0.32,Good,I,554
0.33,Ideal,H,554
0.29,Very Good,E,555
0.29,Very Good,E,555
0.31,Very Good,F,555
0.34,Ideal,H,555
0.34,Ideal,H,555
0.34,Ideal,I,555
0.34,Ideal,I,555
0.3,Ideal,G,555
0.29,Ideal,F,555
0.35,Ideal,G,555
0.43,Very Good,E,555
0.32,Very Good,F,556
0.36,Ideal,I,556
0.3,Ideal,G,556
0.26,Ideal,E,556
0.7,Very Good,F,2812
0.7,Very Good,F,2812
0.71,Ideal,D,2812
0.99,Fair,J,2812
0.73,Premium,E,2812
0.51,Ideal,F,2812
0.91,Premium,G,2813
0.84,Very Good,E,2813
0.91,Good,I,2813
0.76,Premium,E,2814
0.76,Ideal,E,2814
0.75,Premium,E,2814
0.55,Very Good,D,2815
0.76,Very Good,F,2815
0.74,Premium,G,2815
0.7,Ideal,H,2815
0.7,Ideal,H,2815
0.7,Ideal,H,2815
0.7,Ideal,H,2815
0.9,Fair,J,2815
0.95,Fair,F,2815
0.89,Premium,H,2815
0.72,Premium,E,2815
0.96,Fair,E,2815
1.02,Premium,G,2815
0.78,Very Good,I,2816
0.61,Ideal,G,2816
0.71,Good,D,2816
0.78,Premium,F,2816
0.87,Ideal,H,2816
0.83,Ideal,H,2816
0.71,Premium,E,2817
0.71,Ideal,I,2817
0.71,Ideal,E,2817
0.71,Premium,E,2817
0.63,Ideal,F,2817
0.71,Premium,E,2817
0.71,Premium,E,2817
0.71,Ideal,E,2817
0.71,Premium,E,2817
0.9,Ideal,J,2817
0.71,Good,E,2817
0.7,Premium,E,2818
0.7,Premium,E,2818
0.7,Premium,E,2818
1.0,Premium,H,2818
0.86,Premium,F,2818
0.8,Ideal,H,2818
0.7,Ideal,E,2818
0.7,Premium,E,2818
0.7,Premium,F,2818
0.7,Premium,E,2818
1.0,Fair,H,2818
0.72,Very Good,G,2819
0.72,Ideal,H,2819
0.7,Good,F,2819
0.86,Good,F,2819
0.71,Ideal,G,2820
0.75,Ideal,E,2821
0.73,Premium,E,2821
0.53,Ideal,E,2821
0.73,Premium,E,2821
0.73,Good,E,2821
0.73,Premium,E,2821
0.73,Premium,E,2821
0.73,Premium,D,2821
0.73,Very Good,E,2821
0.7,Premium,E,2822
0.72,Premium,E,2822
0.72,Premium,E,2822
0.72,Premium,E,2822
0.7,Premium,E,2822
0.6,Ideal,F,2822
0.74,Ideal,I,2822
0.73,Ideal,F,2822
0.71,Premium,D,2822
0.71,Premium,D,2822
0.7,Premium,D,2822
0.7,Ideal,D,2822
0.9,Good,J,2822
0.71,Ideal,D,2822
0.7,Premium,E,2822
0.7,Premium,E,2822
0.7,Ideal,D,2822
0.7,Good,E,2822
0.7,Ideal,D,2822
0.7,Ideal,D,2822
0.7,Premium,E,2822
0.7,Premium,F,2822
0.7,Ideal,D,2822
0.79,Very Good,D,2823
0.9,Good,I,2823
0.71,Premium,E,2823
0.61,Ideal,E,2823
0.9,Fair,H,2823
0.71,Ideal,E,2823
0.71,Premium,D,2824
0.77,Ideal,I,2824
0.74,Good,E,2824
0.82,Ideal,F,2824
0.82,Premium,E,2824
0.71,Premium,G,2825
0.83,Premium,H,2825
0.73,Very Good,G,2825
0.83,Premium,H,2825
1.17,Premium,J,2825
0.91,Fair,H,2825
0.73,Premium,E,2826
0.7,Good,E,2826
0.9,Premium,I,2826
0.7,Premium,E,2826
0.7,Very Good,D,2826
0.7,Premium,E,2826
0.9,Very Good,I,2826
0.78,Premium,F,2826
0.96,Ideal,F,2826
0.7,Very Good,D,2827
0.72,Good,D,2827
0.79,Premium,H,2827
0.7,Ideal,H,2827
0.7,Ideal,H,2827
0.7,Ideal,D,2828
1.01,Premium,H,2828
0.72,Premium,F,2829
0.8,Good,E,2829
0.59,Ideal,E,2829
0.72,Ideal,F,2829
0.75,Premium,E,2829
0.8,Premium,E,2829
0.71,Very Good,E,2830
0.77,Very Good,H,2830
0.97,Ideal,F,2830
0.53,Ideal,F,2830
0.53,Ideal,F,2830
0.8,Ideal,I,2830
0.9,Premium,G,2830
0.76,Very Good,E,2831
0.72,Ideal,E,2831
0.75,Ideal,E,2831
0.72,Premium,E,2831
0.79,Ideal,G,2831
0.72,Very Good,F,2832
0.91,Very Good,I,2832
0.71,Premium,G,2832
0.81,Premium,G,2832
0.82,Ideal,H,2832
0.71,Premium,F,2832
0.9,Good,J,2832
0.8,Very Good,I,2833
0.56,Very Good,E,2833
0.7,Very Good,D,2833
0.7,Ideal,D,2833
0.61,Ideal,F,2833
0.85,Ideal,H,2833
0.7,Ideal,F,2833
0.8,Ideal,G,2834
0.8,Ideal,H,2834
0.51,Very Good,D,2834
0.53,Ideal,F,2834
0.78,Ideal,I,2834
0.9,Very Good,J,2834
0.9,Fair,G,2834
0.77,Ideal,E,2834
0.73,Ideal,F,2835
0.63,Ideal,F,2835
0.7,Ideal,E,2835
0.72,Ideal,E,2835
0.72,Ideal,E,2835
0.75,Premium,F,2835
0.82,Very Good,H,2836
0.71,Good,E,2836
0.7,Premium,E,2837
0.7,Ideal,E,2837
0.71,Ideal,F,2838
0.76,Very Good,H,2838
0.82,Fair,F,2838
0.72,Premium,F,2838
0.7,Premium,F,2838
0.7,Premium,F,2838
0.7,Premium,G,2838
0.7,Premium,F,2838
0.7,Very Good,E,2838
0.7,Premium,F,2838
0.7,Premium,F,2838
0.7,Premium,G,2838
0.74,Very Good,E,2839
0.71,Ideal,F,2839
0.7,Ideal,F,2839
0.71,Ideal,F,2839
0.71,Premium,F,2839
0.71,Premium,F,2839
0.71,Premium,F,2839
0.7,Ideal,F,2839
0.73,Ideal,G,2839
0.7,Ideal,E,2839
0.7,Ideal,G,2839
0.71,Premium,G,2839
0.71,Premium,F,2839
0.79,Premium,G,2839
0.71,Premium,F,2839
0.77,Very Good,H,2840
0.75,Very Good,F,2840
0.7,Ideal,F,2840
0.71,Premium,F,2840
0.92,Ideal,D,2840
0.83,Premium,F,2840
0.7,Premium,H,2840
0.73,Premium,F,2841
0.71,Very Good,D,2841
0.73,Very Good,D,2841
0.82,Ideal,F,2841
0.82,Ideal,F,2841
0.82,Very Good,F,2841
0.52,Ideal,F,2841
1.0,Premium,F,2841
0.95,Fair,G,2841
0.73,Ideal,D,2841
0.73,Premium,F,2841
0.73,Premium,G,2841
0.8,Ideal,I,2842
0.7,Premium,F,2842
0.7,Very Good,E,2843
0.7,Very Good,E,2843
0.71,Very Good,E,2843
0.81,Very Good,F,2843
0.71,Very Good,D,2843
0.73,Ideal,G,2843
0.73,Very Good,F,2843
0.72,Ideal,E,2843
0.81,Ideal,F,2843
0.71,Ideal,G,2843
0.73,Very Good,E,2844
0.7,Very Good,E,2844
1.01,Ideal,I,2844
1.01,Good,I,2844
0.79,Ideal,H,2844
0.7,Very Good,E,2845
0.7,Very Good,E,2845
0.8,Good,H,2845
1.27,Premium,H,2845
0.79,Ideal,D,2846
0.72,Very Good,F,2846
0.73,Ideal,H,2846
1.01,Fair,H,2846
1.01,Good,H,2846
0.73,Ideal,E,2846
0.7,Ideal,E,2846
0.7,Good,F,2846
0.77,Premium,E,2846
0.77,Premium,G,2846
0.77,Premium,G,2846
0.84,Very Good,H,2847
0.72,Ideal,E,2847
0.76,Premium,D,2847
0.7,Very Good,G,2848
0.54,Ideal,D,2848
0.75,Fair,D,2848
0.79,Good,E,2849
0.74,Very Good,E,2849
0.7,Very Good,E,2850
0.7,Ideal,F,2850
0.75,Ideal,J,2850
1.2,Very Good,H,2850
0.8,Very Good,F,2851
0.66,Ideal,D,2851
0.87,Very Good,F,2851
0.86,Premium,H,2851
0.74,Ideal,F,2851
0.58,Very Good,E,2852
0.78,Ideal,I,2852
0.74,Ideal,G,2852
0.73,Ideal,E,2852
0.91,Very Good,I,2852
0.71,Premium,F,2853
0.71,Good,G,2853
0.79,Ideal,D,2853
0.79,Premium,D,2853
0.71,Premium,E,2853
0.82,Premium,I,2853
0.78,Very Good,H,2854
0.7,Very Good,E,2854
1.12,Premium,H,2854
0.73,Premium,E,2854
0.91,Fair,J,2854
0.91,Fair,J,2854
0.91,Good,J,2854
0.91,Fair,H,2854
0.7,Premium,E,2854
0.68,Premium,F,2854
0.73,Very Good,F,2855
1.03,Good,J,2855
0.74,Premium,D,2855
0.98,Fair,E,2855
1.02,Fair,I,2856
1.0,Fair,G,2856
1.02,Ideal,H,2856
0.6,Ideal,F,2856
0.8,Ideal,G,2856
0.97,Ideal,F,2856
1.0,Fair,I,2856
0.26,Ideal,E,556
0.26,Ideal,E,556
0.36,Ideal,H,556
0.34,Good,G,556
0.34,Good,E,556
0.34,Good,E,556
0.34,Good,E,556
0.34,Very Good,G,556
0.34,Ideal,E,556
0.32,Good,E,556
0.31,Ideal,I,557
0.31,Ideal,I,557
0.31,Ideal,I,557
0.31,Ideal,I,557
0.31,Ideal,I,557
0.31,Ideal,I,557
0.31,Ideal,G,557
0.31,Ideal,H,557
0.31,Ideal,H,557
0.33,Premium,G,557
0.33,Premium,F,557
0.33,Premium,G,557
0.33,Ideal,G,557
0.33,Premium,F,557
0.33,Premium,J,557
0.33,Premium,J,557
0.33,Ideal,J,557
0.33,Ideal,I,557
0.33,Good,I,557
0.33,Premium,I,557
1.0,Fair,H,2856
0.77,Premium,F,2856
0.77,Premium,F,2856
0.7,Good,E,2857
0.9,Very Good,G,2857
0.72,Ideal,E,2857
0.9,Premium,I,2857
0.72,Premium,E,2857
0.7,Ideal,G,2858
0.81,Very Good,F,2858
0.81,Very Good,F,2858
0.71,Premium,E,2858
0.7,Premium,E,2858
0.71,Premium,E,2858
0.71,Very Good,E,2858
0.92,Premium,J,2858
0.76,Ideal,E,2858
0.73,Ideal,D,2858
0.71,Premium,D,2858
0.7,Good,E,2858
0.9,Fair,G,2858
0.71,Fair,D,2858
0.7,Ideal,D,2859
0.7,Premium,D,2859
0.77,Premium,F,2859
0.71,Ideal,G,2859
0.7,Premium,D,2859
0.75,Fair,F,2859
0.83,Premium,E,2859
0.71,Very Good,F,2860
0.9,Very Good,J,2860
0.6,Ideal,E,2860
0.71,Premium,D,2860
0.53,Ideal,F,2860
0.71,Premium,D,2861
0.62,Ideal,G,2861
0.62,Ideal,G,2861
0.9,Premium,I,2861
0.62,Fair,F,2861
0.82,Premium,E,2861
0.66,Premium,D,2861
0.7,Very Good,D,2862
0.8,Very Good,F,2862
0.8,Very Good,D,2862
0.79,Premium,F,2862
0.71,Very Good,F,2862
0.7,Ideal,H,2862
0.7,Very Good,E,2862
0.79,Premium,H,2862
0.7,Premium,E,2862
1.22,Premium,E,2862
1.01,Fair,E,2862
0.73,Premium,E,2862
0.91,Good,I,2863
0.71,Ideal,D,2863
0.83,Premium,G,2863
0.84,Premium,F,2863
0.71,Premium,D,2863
0.71,Premium,D,2863
0.71,Premium,D,2863
0.71,Ideal,D,2863
0.71,Premium,D,2863
0.71,Premium,D,2863
0.91,Premium,J,2863
0.9,Premium,J,2863
0.71,Premium,H,2863
0.71,Premium,E,2863
0.72,Ideal,F,2863
0.72,Premium,E,2863
0.71,Ideal,E,2863
0.81,Ideal,E,2864
0.83,Very Good,I,2865
0.73,Premium,D,2865
0.56,Very Good,D,2866
0.56,Very Good,D,2866
0.71,Ideal,E,2866
0.7,Ideal,H,2866
0.96,Premium,I,2866
0.71,Very Good,H,2867
0.7,Ideal,D,2867
0.71,Ideal,H,2867
0.8,Premium,H,2867
0.95,Premium,F,2867
0.82,Ideal,F,2867
0.52,Ideal,F,2867
0.82,Ideal,F,2867
0.82,Ideal,F,2867
0.82,Premium,F,2867
0.8,Ideal,G,2867
0.96,Fair,F,2867
0.72,Ideal,I,2868
0.62,Ideal,G,2868
0.79,Premium,E,2868
0.75,Very Good,E,2868
1.08,Premium,D,2869
0.72,Ideal,E,2869
0.62,Ideal,G,2869
0.73,Ideal,G,2869
0.72,Ideal,H,2869
0.52,Premium,F,2870
0.83,Ideal,E,2870
0.64,Premium,E,2870
0.8,Ideal,G,2870
0.74,Ideal,H,2870
0.72,Ideal,F,2870
0.82,Ideal,H,2870
0.73,Premium,E,2870
1.04,Premium,I,2870
0.73,Very Good,E,2871
0.73,Good,E,2871
0.9,Premium,J,2871
0.75,Ideal,I,2871
0.79,Ideal,G,2871
0.7,Good,D,2872
0.75,Very Good,D,2872
1.02,Ideal,I,2872
0.7,Very Good,G,2872
0.7,Ideal,D,2872
0.7,Good,E,2872
0.7,Ideal,D,2872
0.7,Ideal,D,2872
0.7,Very Good,D,2872
0.72,Very Good,E,2872
0.74,Ideal,E,2872
0.84,Good,G,2872
0.76,Very Good,F,2873
0.77,Very Good,E,2873
0.76,Ideal,E,2873
1.0,Ideal,I,2873
1.0,Fair,H,2873
0.9,Fair,I,2873
0.9,Premium,J,2873
0.9,Good,J,2873
0.9,Fair,I,2873
0.9,Fair,I,2873
0.9,Premium,J,2873
0.78,Premium,F,2874
0.71,Premium,D,2874
0.7,Premium,F,2874
0.7,Premium,F,2874
0.7,Premium,G,2874
0.7,Ideal,F,2874
0.7,Ideal,F,2874
0.7,Ideal,F,2874
0.7,Premium,G,2874
1.0,Fair,H,2875
0.77,Ideal,H,2875
1.0,Fair,J,2875
1.0,Fair,I,2875
1.0,Fair,H,2875
0.73,Premium,E,2876
0.79,Premium,E,2876
0.72,Very Good,H,2877
0.71,Ideal,E,2877
0.74,Ideal,G,2877
0.7,Good,H,2877
0.7,Good,F,2877
0.79,Very Good,F,2878
0.79,Very Good,F,2878
0.79,Very Good,D,2878
0.71,Ideal,I,2878
0.79,Ideal,F,2878
0.73,Very Good,F,2879
0.63,Premium,E,2879
0.7,Premium,F,2879
0.71,Premium,F,2879
0.84,Ideal,G,2879
0.84,Ideal,G,2879
1.02,Ideal,J,2879
0.72,Fair,F,2879
0.72,Ideal,F,2879
0.92,Very Good,J,2880
0.74,Very Good,D,2880
0.7,Ideal,H,2881
0.71,Very Good,E,2881
1.05,Premium,H,2881
0.7,Very Good,H,2882
0.54,Ideal,F,2882
0.73,Premium,F,2882
0.88,Fair,F,2882
0.73,Premium,F,2882
0.72,Ideal,D,2883
0.9,Good,H,2883
0.9,Fair,H,2883
1.03,Fair,I,2884
0.84,Very Good,F,2885
1.01,Premium,I,2885
0.77,Ideal,D,2885
0.8,Fair,E,2885
0.9,Fair,D,2885
0.73,Ideal,E,2886
0.72,Ideal,E,2886
0.71,Very Good,D,2887
0.7,Premium,E,2887
0.79,Ideal,I,2888
0.72,Very Good,G,2889
0.7,Very Good,E,2889
0.7,Very Good,F,2889
0.9,Good,H,2889
0.71,Very Good,F,2889
0.5,Ideal,E,2889
0.5,Ideal,E,2889
0.74,Ideal,F,2889
0.77,Premium,F,2889
0.77,Premium,E,2889
0.8,Ideal,F,2890
0.8,Ideal,F,2890
0.8,Premium,F,2890
0.8,Good,F,2890
0.66,Ideal,G,2890
0.71,Very Good,E,2891
0.71,Ideal,F,2891
0.71,Ideal,E,2891
0.71,Ideal,E,2891
0.72,Ideal,D,2891
0.71,Good,D,2891
0.86,Ideal,H,2892
1.19,Fair,H,2892
0.71,Very Good,F,2893
0.82,Very Good,G,2893
0.71,Ideal,G,2893
0.75,Ideal,F,2893
0.7,Very Good,H,2893
0.8,Ideal,G,2893
0.82,Good,G,2893
0.82,Very Good,G,2893
0.82,Premium,G,2893
0.81,Very Good,E,2894
0.81,Ideal,G,2894
0.76,Ideal,F,2894
0.71,Very Good,G,2895
0.7,Very Good,F,2895
0.7,Ideal,G,2895
0.74,Very Good,G,2896
0.77,Very Good,G,2896
0.77,Very Good,G,2896
0.53,Ideal,F,2896
0.79,Ideal,D,2896
0.73,Ideal,E,2896
0.77,Ideal,D,2896
0.77,Premium,E,2896
1.01,Very Good,I,2896
1.01,Ideal,I,2896
0.6,Very Good,D,2897
0.76,Premium,E,2897
0.54,Ideal,D,2897
0.72,Ideal,E,2897
0.72,Good,F,2897
0.74,Premium,D,2897
1.12,Premium,J,2898
0.75,Ideal,D,2898
0.77,Ideal,D,2898
0.98,Good,H,2898
0.79,Ideal,G,2898
0.79,Ideal,G,2898
0.79,Ideal,G,2898
0.79,Ideal,G,2898
0.79,Ideal,G,2898
0.79,Ideal,G,2898
0.7,Good,G,2899
0.7,Very Good,F,2900
0.72,Premium,D,2900
0.8,Premium,F,2901
0.81,Ideal,E,2901
0.81,Premium,E,2901
0.74,Ideal,E,2901
0.73,Premium,E,2902
0.73,Ideal,E,2902
0.75,Ideal,G,2902
0.71,Fair,E,2902
0.71,Premium,E,2902
0.75,Premium,D,2903
0.75,Ideal,D,2903
0.72,Ideal,D,2903
0.72,Premium,D,2903
0.72,Premium,E,2903
0.79,Very Good,F,2904
0.79,Very Good,D,2904
0.7,Very Good,E,2904
0.62,Ideal,E,2904
0.7,Very Good,G,2905
0.7,Very Good,G,2905
0.7,Very Good,G,2905
0.71,Very Good,G,2905
0.86,Very Good,I,2905
0.53,Ideal,D,2905
0.91,Very Good,J,2905
0.95,Good,I,2905
0.91,Premium,J,2905
0.74,Very Good,D,2906
0.8,Ideal,I,2906
0.74,Good,E,2906
0.61,Ideal,E,2907
0.61,Ideal,E,2907
0.61,Ideal,E,2907
0.72,Ideal,H,2907
0.7,Ideal,F,2907
0.71,Ideal,F,2907
